car_id,year,mileage_km,engine_l,fuel,transmission,price_eur,city,scraped_date
car_001,2005,174332,1.1,Benzin,Manuelni 5 brzina,1500,Šabac,2026-07-15
car_002,2020,120252,1.5,Dizel,Manuelni 5 brzina,9650,Kraljevo,2026-07-15
car_003,2013,173130,1.4,Dizel,Manuelni 5 brzina,4450,Čačak,2026-07-15
car_004,2021,108792,1.5,Dizel,Manuelni 6 brzina,11490,Beograd,2026-07-15
car_005,2019,99300,1.2,Benzin,Manuelni 5 brzina,9699,Beograd,2026-07-15
car_006,2017,111074,1.2,Benzin,Manuelni 5 brzina,7790,Beograd,2026-07-15
car_007,2019,62539,1.2,Benzin,,9890,Beograd,2026-07-15
car_008,2014,185000,1.6,Dizel,Manuelni 5 brzina,5300,Ražanj,2026-07-15
car_009,2021,77530,1.2,Benzin,Manuelni 5 brzina,9990,Majur,2026-07-15
car_010,2011,190000,1.6,Dizel,Manuelni 5 brzina,4890,Kać,2026-07-15
car_011,2019,44797,1.2,Benzin,Manuelni 5 brzina,8000,Kolari,2026-07-15
car_012,2019,86000,1.2,Benzin,Manuelni 6 brzina,8500,Beograd,2026-07-15
car_013,2018,148000,1.2,Benzin,,8750,Borča,2026-07-15
car_014,2020,154000,1.5,Dizel,Manuelni 5 brzina,6800,Beograd,2026-07-15
car_015,2021,169313,1.5,Dizel,Manuelni 6 brzina,8890,Zemun,2026-07-15
car_016,2020,165501,1.5,Dizel,Manuelni 5 brzina,8290,Beograd,2026-07-15
car_017,2020,36863,1.2,Benzin,Manuelni 5 brzina,9290,Majur,2026-07-15
car_018,2022,72000,1.2,Benzin,Manuelni 5 brzina,9499,Veternik,2026-07-15
car_019,2009,171200,1.1,Benzin + Gas (TNG),Manuelni 5 brzina,3450,Kraljevo,2026-07-15
car_020,2008,184900,1.4,Dizel,Manuelni 5 brzina,3499,Kragujevac,2026-07-15
car_021,2018,150390,1.2,Benzin,Manuelni 5 brzina,7190,Petrovaradin,2026-07-15
car_022,2019,160214,1.5,Dizel,Manuelni 5 brzina,7950,Kragujevac,2026-07-15
car_023,2020,155498,1.2,Benzin,Manuelni 5 brzina,6990,Čačak,2026-07-15
car_024,2019,162423,1.2,Benzin,Manuelni 5 brzina,7499,Pančevo,2026-07-15
car_025,2021,44306,1.2,Benzin,Manuelni 6 brzina,11390,Zemun,2026-07-15
car_026,2017,158000,1.2,Benzin,Manuelni 5 brzina,7500,Novi Sad,2026-07-15
car_027,2010,177125,1.4,Benzin,Manuelni 5 brzina,4650,Aleksinac,2026-07-15
car_028,2018,172646,1.5,Dizel,Manuelni 6 brzina,9398,Beograd,2026-07-15
car_029,2019,115000,1.5,Dizel,Manuelni 6 brzina,8290,Novi Sad,2026-07-15
car_030,2018,153000,1.6,Dizel,Manuelni 5 brzina,6650,Šabac,2026-07-15
car_031,2020,136579,1.5,Dizel,Manuelni 5 brzina,8490,Beograd,2026-07-15
car_032,2015,123603,1.0,Benzin,Manuelni 5 brzina,5700,Novi Sad,2026-07-15
car_033,2020,143689,1.5,Dizel,Manuelni 5 brzina,8550,Jagodina,2026-07-15
car_034,2012,225000,1.4,Dizel,Manuelni 5 brzina,5199,Starčevo,2026-07-15
car_035,2021,142000,1.5,Dizel,Manuelni 6 brzina,9250,Kraljevo,2026-07-15
car_036,2017,105000,1.2,Benzin,Manuelni 5 brzina,6999,Umka,2026-07-15
car_037,2021,130325,1.2,Benzin,Manuelni 5 brzina,7990,Aranđelovac,2026-07-15
car_038,2017,155000,1.6,Dizel,Manuelni 5 brzina,7990,Novi Sad,2026-07-15
car_039,2020,143000,1.2,Benzin,Manuelni 5 brzina,8700,Resnik,2026-07-15
car_040,2018,97015,1.2,Benzin,Manuelni 5 brzina,7450,Jagodina,2026-07-15
car_041,2020,121209,1.2,Benzin,,9690,Beograd,2026-07-15
car_042,2021,172000,1.5,Dizel,Manuelni 6 brzina,8550,Kragujevac,2026-07-15
car_043,2016,116000,1.0,Benzin,Manuelni 5 brzina,4850,Beograd,2026-07-15
car_044,2013,179310,1.4,Dizel,Manuelni 5 brzina,4999,Kragujevac,2026-07-15
car_045,2018,70454,1.2,Benzin,,8950,Kraljevo,2026-07-15
car_046,2021,132017,1.5,Dizel,Manuelni 6 brzina,9690,Beograd,2026-07-15
car_047,2014,163071,1.4,Dizel,Manuelni 5 brzina,4650,Vranje,2026-07-15
car_048,2010,184000,1.6,Benzin,Manuelni 5 brzina,4199,Niš,2026-07-15
car_049,2019,106396,1.2,Benzin,,9450,Šabac,2026-07-15
car_050,2018,91800,1.5,Dizel,Manuelni 6 brzina,8300,Kragujevac,2026-07-15
car_051,2015,147653,1.2,Benzin,Manuelni 5 brzina,4650,Kraljevo,2026-07-15
car_052,2010,168000,1.6,Benzin,Manuelni 5 brzina,4300,Pirot,2026-07-15
car_053,2015,144930,1.2,Benzin,Manuelni 5 brzina,5600,Beograd,2026-07-15
car_054,2019,129671,1.2,Benzin,Manuelni 5 brzina,8950,Šabac,2026-07-15
car_055,2019,160000,1.5,Dizel,Manuelni 5 brzina,7450,Kragujevac,2026-07-15
car_056,2019,163000,1.5,Dizel,Manuelni 6 brzina,8300,Topola,2026-07-15
car_057,2017,98500,1.2,Benzin,Manuelni 5 brzina,6250,Čukarica,2026-07-15
car_058,2018,149000,1.6,Dizel,Manuelni 5 brzina,8700,Beograd,2026-07-15
car_059,2013,136000,1.0,Benzin,Manuelni 5 brzina,4699,Šabac,2026-07-15
car_060,2008,201000,1.4,Dizel,Manuelni 5 brzina,3200,Beograd,2026-07-15
