car_id,year,mileage_km,engine_l,fuel,transmission,price_eur,city,scraped_date,predicted_price,residual
car_001,2005,174332,1.1,Benzin,Manuelni 5 brzina,1500,Šabac,2026-07-15,1778.1316555240187,-278.1316555240187
car_002,2020,120252,1.5,Dizel,Manuelni 5 brzina,9650,Kraljevo,2026-07-15,8409.650562380066,1240.3494376199342
car_003,2013,173130,1.4,Dizel,Manuelni 5 brzina,4450,Čačak,2026-07-15,5202.325715781017,-752.3257157810167
car_004,2021,108792,1.5,Dizel,Manuelni 6 brzina,11490,Beograd,2026-07-15,8883.753993254937,2606.246006745063
car_005,2019,99300,1.2,Benzin,Manuelni 5 brzina,9699,Beograd,2026-07-15,8067.60293878533,1631.3970612146704
car_006,2017,111074,1.2,Benzin,Manuelni 5 brzina,7790,Beograd,2026-07-15,7164.808085795942,625.1919142040579
car_007,2019,62539,1.2,Benzin,,9890,Beograd,2026-07-15,8217.377822514352,1672.6221774856476
car_008,2014,185000,1.6,Dizel,Manuelni 5 brzina,5300,Ražanj,2026-07-15,5581.376018683361,-281.3760186833606
car_009,2021,77530,1.2,Benzin,Manuelni 5 brzina,9990,Majur,2026-07-15,9011.124369880617,978.8756301193825
car_010,2011,190000,1.6,Dizel,Manuelni 5 brzina,4890,Kać,2026-07-15,4278.76829356111,611.2317064388899
car_011,2019,44797,1.2,Benzin,Manuelni 5 brzina,8000,Kolari,2026-07-15,8289.66383179376,-289.6638317937595
car_012,2019,86000,1.2,Benzin,Manuelni 6 brzina,8500,Beograd,2026-07-15,8121.790962875969,378.20903712403106
car_013,2018,148000,1.2,Benzin,,8750,Borča,2026-07-15,7441.773040456552,1308.2269595434482
car_014,2020,154000,1.5,Dizel,Manuelni 5 brzina,6800,Beograd,2026-07-15,8272.151506965713,-1472.1515069657125
car_015,2021,169313,1.5,Dizel,Manuelni 6 brzina,8890,Zemun,2026-07-15,8637.174037917373,252.82596208262657
car_016,2020,165501,1.5,Dizel,Manuelni 5 brzina,8290,Beograd,2026-07-15,8225.293126133649,64.70687386635109
car_017,2020,36863,1.2,Benzin,Manuelni 5 brzina,9290,Majur,2026-07-15,8749.401324853323,540.5986751466771
car_018,2022,72000,1.2,Benzin,Manuelni 5 brzina,9499,Veternik,2026-07-15,9461.067275728727,37.9327242712734
car_019,2009,171200,1.1,Benzin + Gas (TNG),Manuelni 5 brzina,3450,Kraljevo,2026-07-15,3500.5407073798997,-50.540707379899686
car_020,2008,184900,1.4,Dizel,Manuelni 5 brzina,3499,Kragujevac,2026-07-15,3017.3108724475414,481.68912755245856
car_021,2018,150390,1.2,Benzin,Manuelni 5 brzina,7190,Petrovaradin,2026-07-15,7432.0354932703385,-242.03549327033852
car_022,2019,160214,1.5,Dizel,Manuelni 5 brzina,7950,Kragujevac,2026-07-15,7819.421788450201,130.57821154979865
car_023,2020,155498,1.2,Benzin,Manuelni 5 brzina,6990,Čačak,2026-07-15,8266.048224252345,-1276.0482242523449
car_024,2019,162423,1.2,Benzin,Manuelni 5 brzina,7499,Pančevo,2026-07-15,7810.421687306124,-311.4216873061241
car_025,2021,44306,1.2,Benzin,Manuelni 6 brzina,11390,Zemun,2026-07-15,9146.48849863155,2243.51150136845
car_026,2017,158000,1.2,Benzin,Manuelni 5 brzina,7500,Novi Sad,2026-07-15,6973.618069369074,526.381930630926
car_027,2010,177125,1.4,Benzin,Manuelni 5 brzina,4650,Aleksinac,2026-07-15,3903.8126496220066,746.1873503779934
car_028,2018,172646,1.5,Dizel,Manuelni 6 brzina,9398,Beograd,2026-07-15,7341.358150100318,2056.641849899682
car_029,2019,115000,1.5,Dizel,Manuelni 6 brzina,8290,Novi Sad,2026-07-15,8003.636624633221,286.3633753667791
car_030,2018,153000,1.6,Dizel,Manuelni 5 brzina,6650,Šabac,2026-07-15,7421.401602828491,-771.4016028284914
car_031,2020,136579,1.5,Dizel,Manuelni 5 brzina,8490,Beograd,2026-07-15,8343.129669949398,146.8703300506022
car_032,2015,123603,1.0,Benzin,Manuelni 5 brzina,5700,Novi Sad,2026-07-15,6258.9371457248335,-558.9371457248335
car_033,2020,143689,1.5,Dizel,Manuelni 5 brzina,8550,Jagodina,2026-07-15,8314.161485642297,235.8385143577034
car_034,2012,225000,1.4,Dizel,Manuelni 5 brzina,5199,Starčevo,2026-07-15,4563.580325996165,635.4196740038351
car_035,2021,142000,1.5,Dizel,Manuelni 6 brzina,9250,Kraljevo,2026-07-15,8748.455053104413,501.5449468955867
car_036,2017,105000,1.2,Benzin,Manuelni 5 brzina,6999,Umka,2026-07-15,7189.555308226509,-190.5553082265087
car_037,2021,130325,1.2,Benzin,Manuelni 5 brzina,7990,Aranđelovac,2026-07-15,8796.022359965933,-806.022359965933
car_038,2017,155000,1.6,Dizel,Manuelni 5 brzina,7990,Novi Sad,2026-07-15,6985.84093194591,1004.1590680540903
car_039,2020,143000,1.2,Benzin,Manuelni 5 brzina,8700,Resnik,2026-07-15,8316.968669747443,383.0313302525574
car_040,2018,97015,1.2,Benzin,Manuelni 5 brzina,7450,Jagodina,2026-07-15,7649.500589949878,-199.5005899498783
car_041,2020,121209,1.2,Benzin,,9690,Beograd,2026-07-15,8405.751469218054,1284.248530781946
car_042,2021,172000,1.5,Dizel,Manuelni 6 brzina,8550,Kragujevac,2026-07-15,8626.226427336054,-76.22642733605426
car_043,2016,116000,1.0,Benzin,Manuelni 5 brzina,4850,Beograd,2026-07-15,6717.326049613419,-1867.326049613419
car_044,2013,179310,1.4,Dizel,Manuelni 5 brzina,4999,Kragujevac,2026-07-15,5177.1466188727345,-178.1466188727345
car_045,2018,70454,1.2,Benzin,,8950,Kraljevo,2026-07-15,7757.717740917658,1192.2822590823416
car_046,2021,132017,1.5,Dizel,Manuelni 6 brzina,9690,Beograd,2026-07-15,8789.128665472597,900.8713345274027
car_047,2014,163071,1.4,Dizel,Manuelni 5 brzina,4650,Vranje,2026-07-15,5670.721069832505,-1020.7210698325052
car_048,2010,184000,1.6,Benzin,Manuelni 5 brzina,4199,Niš,2026-07-15,3875.801922883424,323.19807711657586
car_049,2019,106396,1.2,Benzin,,9450,Šabac,2026-07-15,8038.691794503587,1411.3082054964134
car_050,2018,91800,1.5,Dizel,Manuelni 6 brzina,8300,Kragujevac,2026-07-15,7670.747999395945,629.252000604055
car_051,2015,147653,1.2,Benzin,Manuelni 5 brzina,4650,Kraljevo,2026-07-15,6160.950530733865,-1510.950530733865
car_052,2010,168000,1.6,Benzin,Manuelni 5 brzina,4300,Pirot,2026-07-15,3940.990523293216,359.00947670678397
